"location","price","property_type","postal_code","available","till_move_in_day","minimum_term","maximum_term","furnishings","occupation","gender","min_age","max_age","property_id"
Manchester,1150,Flat share,M4,"16/04/2023",0,0,3,Furnished,Don't mind,No preference,"26","60",1355
Manchester,758,Flat share,M6,"31/08/2023",137,0,0,Furnished,Student,No preference,,,1366
Manchester,580,Shared property,M43,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21",,1356
Manchester,530,House share,M6,"16/04/2023",0,6,0,Furnished,Professional,No preference,"22","48",1359
Manchester,650,House share,M15,"16/04/2023",0,3,24,Furnished,Don't mind,No preference,"18","50",1361
Manchester,756,Flat share,M1,"06/05/2023",20,0,0,Furnished,Don't mind,No preference,,,1370
Manchester,900,Flat share,M30,"16/04/2023",0,0,0,Furnished,Professional,No preference,"32","64",1365
Manchester,300,House rent,M20,"01/06/2023",46,1,3,Furnished,Don't mind,No preference,,,1372
Manchester,600,House share,M45,"01/07/2023",76,1,11,Furnished,Don't mind,No preference,"20","40",1373
Manchester,550,Flat share,M15,"01/06/2023",46,12,0,Unfurnished,Don't mind,No preference,"25","32",1374
